name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;628;0;744;3069;1526;3069;1156;0
header;116;64;116;102;1721;102;1721;64
A;904;125;904;153;926;153;926;125
B;906;789;906;819;927;819;927;789
A;883;1132;883;1138;889;1138;889;1132
A;887;1365;887;1369;892;1369;892;1365
C;907;1456;907;1484;929;1484;929;1456
A;831;1564;831;1564;831;1564;831;1564
D;916;2119;916;2146;938;2146;938;2119
A;1035;2611;1035;2613;1037;2613;1037;2611
A;1281;2924;1281;2931;1290;2931;1290;2924
A;1020;3016;1020;3016;1020;3016;1020;3016
