name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1062;0;1016;3079;1889;3079;1866;0
header;267;90;267;129;1869;129;1869;90
A;1065;159;1065;187;1086;187;1086;159
A;1657;757;1657;762;1663;762;1663;757
A;1051;780;1051;780;1051;780;1051;780
B;1071;825;1071;852;1091;852;1091;825
A;1391;849;1391;856;1398;856;1398;849
A;1046;1405;1046;1409;1051;1409;1051;1405
C;1065;1489;1065;1519;1087;1519;1087;1489
B;1429;1532;1429;1548;1438;1548;1438;1532
A;1040;1940;1040;1959;1053;1959;1053;1940
D;1072;2215;1072;2242;1092;2242;1092;2215
A;1088;2713;1088;2714;1088;2714;1088;2713
A;1385;2723;1385;2738;1393;2738;1393;2723
B;1594;2723;1594;2738;1601;2738;1601;2723
